Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Alto Paraíso de Goiás (GO),2603.4,2.4,339.0236972,67.99,26.56,3.41,16.94,203.05,0.61,43.75,44.2,0.738,81.83,84.8,5.61,1570,2595,127,218,4193,6182,4179,2003,GO,Grupo 1
Alto Paraná (PR),408.5,31.1,400.540372,70.12,18.42,2.48,17.69,198.72,0.51,39.54,32.63,0.743,76.67,84.82,4.79,5739,6866,677,914,12047,12717,10114,2603,PR,Grupo 1
Alto Parnaíba (MA),11195.3,0.9,753.0501071,60.71,58.54,3.75,30.23,93.27,0.69,63.54,62.9,0.636,81.95,76.69,3.42,3817,4019,448,531,10336,10174,6038,4136,MA,Grupo 1
Alto Piquiri (PR),451.0,23.9,448.491218,69.83,19.03,2.54,26.44,221.78,0.65,47.15,41.8,0.75,87.25,80.71,4.16,5665,5584,646,772,12599,10761,8405,2356,PR,Grupo 1
Alto Rio Doce (MG),520.4,26.6,145.8396523,70.12,28.31,2.52,22.76,123.95,0.59,52.72,51.81,0.696,65.19,81.05,3.45,6646,7223,1097,1242,14160,13858,4912,8946,MG,Grupo 1
Alto Rio Novo (ES),234.2,29.7,157.2990168,63.26,44.41,2.43,27.75,174.25,0.55,30.9,41.84,0.679,69.54,80.03,3.91,2678,3332,286,416,6745,6964,3568,3396,ES,Grupo 1
Alto Santo (CE),1322.9,11.6,202.6950209,70.83,30.51,3.37,44.04,92.75,0.57,56.86,53.17,0.654,75.91,62.47,2.75,5560,7194,883,1110,13043,15394,5447,9947,CE,Grupo 1
Alto Taquari (MT),1399.2,3.2,388.7715338,72.49,19.02,2.76,14.5,409.13,0.7,50.2,38.38,0.804,76.1,88.73,5.2,1304,2056,63,105,3014,4476,3670,806,MT,Grupo 1
Altos (PI),1311.8,29.8,38.1507517,65.3,41.27,2.71,44.27,77.96,0.55,52.53,54.94,0.618,75.74,64.49,2.95,13756,17342,1823,2597,35325,39122,26199,12923,PI,Grupo 1
Alumínio (SP),83.9,181.8,63.78792685,69.03,20.26,2.17,7.95,298.52,0.45,64.15,47.14,0.787,85.11,92.89,6.66,6175,7666,416,593,13766,15252,13727,1525,SP,Grupo 1
Alvarães (AM),5937.900000000001,2.0,530.3985542,65.37,45.79,5.56,35.62,91.95,0.58,49.16,57.35,0.647,71.8,74.93,2.92,2442,3652,147,314,8487,12150,5314,6836,AM,Grupo 1
Alvarenga (MG),368.4,14.1,237.2984917,66.29,41.08,2.51,30.09,115.34,0.56,47.35,48.47,0.657,65.42,75.18,3.06,2537,2612,329,417,6004,5212,2023,3189,MG,Grupo 1
Alvinlândia (SP),85.2,33.3,342.5649963,69.94,18.35,2.74,18.83,189.99,0.49,44.01,29.77,0.741,77.49,84.86,4.54,1203,1451,165,209,2541,2837,2431,406,SP,Grupo 1
Alvinópolis (MG),601.1,25.9,100.0613136,69.52,30.15,2.58,18.09,161.21,0.55,40.91,39.13,0.727,75.59,85.12,4.62,7324,8251,1144,1387,15324,15588,10804,4784,MG,Grupo 1
Alvorada (TO),1216.8,7.0,271.1181848,68.49,32.19,2.44,23.84,168.86,0.55,38.4,41.44,0.731,88.47,81.8,4.76,3137,4111,281,440,7531,8508,7842,666,TO,Grupo 1
Alvorada (RS),72.9,2516.1,14.83869815,69.98,21.42,2.8,6.97,214.75,0.45,56.91,40.6,0.768,77.4,94.01,5.86,66391,90316,4346,7243,142046,183968,183365,603,RS,Grupo 7
Alvorada d'Oeste (RO),2982.2000000000003,6.6000000000000005,337.5145428,65.16,33.37,2.87,22.08,162.11,0.65,55.5,55.48,0.694,69.17,84.11,3.58,7458,8661,425,747,20205,19832,8546,11286,RO,Grupo 1
Alvorada de Minas (MG),376.1,9.3,135.1724919,69.59,29.93,4.67,32.75,99.62,0.65,50.05,57.21,0.667,71.15,71.9,3.03,1559,1577,268,251,3893,3527,1129,2398,MG,Grupo 1
Alvorada do Gurguéia (PI),2342.1,1.8,385.8827513,57.67,71.95,3.95,46.29,73.46,0.6,47.78,57.7,0.574,78.96,63.62,2.83,1544,1617,153,196,4636,4211,1479,2732,PI,Grupo 1
Alvorada do Norte (GO),1296.6,5.8,383.4585181,64.81,36.25,2.32,30.82,150.83,0.6,46.28,46.74,0.688,82.39,77.6,4.07,2758,3328,267,360,7391,7560,6787,773,GO,Grupo 1
Alvorada do Sul (PR),419.9,22.1,354.9808114,70.4,17.84,2.46,16.94,214.32,0.52,41.77,31.11,0.757,83.15,85.37,4.97,4605,4986,498,732,9685,9253,7015,2238,PR,Grupo 1
Amajari (RR),28598.4,0.2,120.5980657,68.47,27.6,4.96,29.6,93.41,0.64,65.04,63.4,0.654,68.55,71.84,3.31,1468,2092,76,216,3661,5294,799,4495,RR,Grupo 1
Amambai (MS),4212.3,7.0,301.6853053,72.16,19.82,2.8,20.78,229.54,0.63,45.66,43.23,0.759,76.62,83.15,4.57,10737,13581,1128,1568,25951,29484,18818,10666,MS,Grupo 1
Amapá (AP),9203.5,0.8,225.8414559,68.68,28.35,6.17,21.0,135.43,0.61,46.61,54.43,0.72,86.22,82.84,4.58,1472,2546,116,246,4233,7121,5922,1199,AP,Grupo 1
Amapá do Maranhão (MA),951.5,5.7,209.9293686,59.61,63.19,5.49,46.99,64.65,0.56,49.36,56.97,0.572,79.94,60.61,2.06,1521,1856,100,135,4607,5431,3979,1452,MA,Grupo 1
Amaporã (PR),390.0,12.0,440.3561255,66.99,25.68,2.94,24.09,172.02,0.54,44.16,38.8,0.709,75.39,81.37,4.65,1753,2306,184,299,3948,4655,3587,1068,PR,Grupo 1
Amaraji (PE),238.8,89.3,72.7592718,66.3,52.18,3.63,42.15,79.13,0.52,48.07,53.16,0.617,73.22,62.65,3.0,7440,8962,1005,1168,19997,21309,14381,6928,PE,Grupo 1
Amaral Ferrador (RS),506.6,11.3,135.4849883,68.82,24.23,2.93,19.07,184.2,0.51,31.89,39.43,0.727,74.77,83.99,3.48,2978,3219,381,453,5917,5740,1131,4609,RS,Grupo 1
Amaralina (GO),1418.1,2.2,305.9480666,63.33,41.4,3.11,29.42,89.31,0.62,44.71,51.33,0.648,80.98,77.0,3.14,1602,1535,132,161,3793,3074,1171,1903,GO,Grupo 1
Amarante (PI),1336.8,12.6,128.1443208,66.99,35.73,2.73,39.42,78.48,0.57,45.83,57.3,0.63,77.26,64.65,3.59,6770,7722,915,1257,16528,16884,8916,7968,PI,Grupo 1
Amarante do Maranhão (MA),7210.2,4.3,432.38429,61.55,55.12,3.51,38.74,57.76,0.62,64.91,65.06,0.582,72.54,67.0,2.62,7630,11427,852,1243,23102,31292,10818,20474,MA,Grupo 1
Amargosa (BA),437.6,70.3,118.6305324,64.85,42.81,2.46,34.62,123.57,0.57,44.37,47.85,0.662,79.61,71.98,3.71,11996,14963,2345,2999,28026,31108,20884,10224,BA,Grupo 1
Amaturá (AM),4780.1,1.9,907.2023568,67.05,39.53,6.23,33.2,68.12,0.69,72.02,67.82,0.631,66.67,73.7,3.32,1495,2461,147,240,4738,7308,3930,3378,AM,Grupo 1
Americana (SP),133.9,1359.9,114.560278,72.46,13.62,1.96,5.46,473.23,0.5,77.52,43.66,0.84,87.15,95.62,6.93,82052,106095,8066,12704,153840,182593,182159,434,SP,Grupo 7
Americano do Brasil (GO),134.0,35.1,90.85456045,68.61,24.88,2.52,23.66,204.95,0.63,41.39,39.3,0.732,79.85,81.26,4.14,2209,2655,234,348,4861,4933,4116,817,GO,Grupo 1
Ametista do Sul (RS),75.9,97.7,352.6247452,71.91,17.15,3.63,18.56,198.62,0.58,43.9,41.59,0.754,75.76,85.64,4.32,2828,3650,245,386,6644,7414,3195,4219,RS,Grupo 1
Amélia Rodrigues (BA),153.20000000000002,157.6,69.64661974,64.79,43.02,2.38,22.4,125.66,0.58,45.6,47.77,0.695,86.15,83.0,4.68,8990,10937,1076,1403,22779,24134,19022,5112,BA,Grupo 1
América Dourada (BA),748.1,21.3,359.5616698,56.32,78.54,3.29,38.95,65.05,0.56,58.18,59.61,0.564,72.68,68.88,2.84,5585,6603,650,792,15965,15959,10148,5811,BA,Grupo 1
Américo Brasiliense (SP),123.8,228.5,252.3556867,73.19,12.4,2.35,12.91,242.09,0.48,63.7,47.06,0.788,81.84,89.82,5.14,8892,14003,700,1073,20067,28287,27641,646,SP,Grupo 1
Américo de Campos (SP),254.6,22.0,481.8232332,71.79,14.82,1.95,14.5,252.69,0.51,39.25,24.34,0.774,79.16,87.3,4.89,3031,3320,385,520,5590,5594,4388,1206,SP,Grupo 1
Amontada (CE),1581.9,20.5,117.5342334,64.87,52.03,4.23,43.54,62.77,0.72,70.4,71.17,0.616,89.18,63.43,2.45,9255,12715,1430,2078,25161,32333,11802,20531,CE,Grupo 1
Amorinópolis (GO),409.9,10.1,196.0021,68.79,24.39,2.42,22.85,177.85,0.55,42.89,38.86,0.732,85.54,81.37,4.28,2187,2359,237,310,4428,4145,2439,1706,GO,Grupo 1
Amparo (PB),126.5,14.9,247.7371137,62.13,52.82,3.07,41.7,75.58,0.5,44.61,51.54,0.603,77.6,65.56,2.82,713,858,126,123,1848,1886,619,1267,PB,Grupo 1
Amparo (SP),447.1,135.1,95.02323264,69.76,18.74,1.85,8.25,445.34,0.54,68.46,36.91,0.806,78.53,92.91,6.4,27135,34566,3606,4916,50797,60404,43357,17047,SP,Grupo 1
Amparo de São Francisco (SE),39.8,54.8,87.72290173,59.06,65.63,2.48,41.05,82.64,0.58,52.79,57.82,0.602,79.57,69.22,3.1,750,962,144,140,1891,2182,1205,977,SE,Grupo 1
Amparo do Serra (MG),146.20000000000002,37.5,142.6301648,67.42,37.06,2.85,31.81,117.93,0.57,43.64,44.31,0.675,69.42,77.5,3.18,2791,2819,459,518,6232,5477,2506,2971,MG,Grupo 1
Ampére (PR),303.0,51.6,424.0839294,73.52,12.04,2.72,13.42,234.61,0.58,46.79,38.19,0.793,87.48,89.38,4.67,6022,7935,530,858,13213,15623,10403,5220,PR,Grupo 1
Anadia (AL),190.3,93.7,62.36006929,64.65,44.96,2.88,50.18,85.3,0.6,49.39,55.02,0.609,79.33,57.99,2.75,6117,7571,850,1053,16337,17849,9108,8741,AL,Grupo 1
Anagé (BA),1859.3,21.9,336.8847238,63.89,46.22,2.76,50.18,61.94,0.57,61.69,62.41,0.586,71.29,61.36,1.6,15666,14009,1969,2150,41544,31060,4208,26852,BA,Grupo 1
Anahy (PR),107.4,27.8,391.6105888,68.04,23.08,2.54,19.77,152.14,0.55,41.66,45.98,0.725,84.4,84.64,4.38,1541,1591,151,216,3508,3011,1640,1371,PR,Grupo 1
Anajatuba (MA),1137.6,20.1,88.82561465,61.19,56.56,4.91,49.01,50.62,0.52,51.26,61.45,0.567,73.93,63.39,2.45,7106,9425,1078,1477,19528,22978,5992,16986,MA,Grupo 1
Anajás (PA),7022.2,2.6,167.8282971,68.99,30.93,6.82,52.2,89.82,0.56,45.3,46.99,0.595,57.37,50.63,1.52,4150,5549,392,590,14284,18322,4613,13709,PA,Grupo 1
Analândia (SP),327.5,10.9,189.8125123,73.3,12.21,2.66,9.98,293.03,0.5,33.88,29.65,0.804,81.7,92.03,5.74,1495,1931,185,254,3020,3582,2650,932,SP,Grupo 1
Anamã (AM),2464.8,2.7,161.9325687,63.05,55.28,4.7,31.93,96.83,0.67,59.48,63.98,0.637,70.03,76.08,3.04,1829,2235,127,229,6024,6563,2064,4499,AM,Grupo 1
Ananás (TO),1398.0,7.5,423.333334,64.51,45.44,3.37,32.2,117.93,0.56,44.96,45.94,0.667,81.55,75.15,3.68,3007,4124,340,457,8295,10512,8396,2116,TO,Grupo 1
Ananindeua (PA),191.4,2053.0,17.74911361,72.19,21.7,2.35,6.89,187.79,0.54,50.21,44.05,0.782,84.7,94.57,7.01,96661,177380,5346,11036,244442,393569,392627,942,PA,Grupo 7
Anapu (PA),11951.7,0.8,373.6627696,67.63,35.37,4.49,39.67,112.91,0.64,71.94,66.1,0.645,59.42,69.77,2.31,4944,3361,149,209,13020,9407,3083,6324,PA,Grupo 1
Anapurus (MA),613.5,16.4,182.8915949,59.38,64.21,4.3,48.92,97.63,0.71,54.33,61.7,0.592,78.45,60.59,2.85,3655,4008,432,523,10249,10280,4601,5679,MA,Grupo 1
Anastácio (MS),2957.5,7.6,120.9547127,68.07,31.26,2.83,19.22,165.71,0.59,51.18,44.51,0.725,78.98,84.99,4.28,8607,11092,860,1376,19940,22477,17266,5211,MS,Grupo 1
Anaurilândia (MS),3405.4,2.3000000000000003,278.258254,67.69,32.47,2.36,25.42,183.74,0.54,50.76,42.13,0.72,78.21,81.6,3.84,3119,3848,301,473,7270,7955,4420,3535,MS,Grupo 1
Anápolis (GO),1078.2,266.8,50.58020377,70.24,20.77,2.24,11.45,293.89,0.57,50.41,38.41,0.788,84.35,91.17,6.18,110412,148632,9119,14293,239378,288085,280164,7921,GO,Grupo 7
Anchieta (ES),418.1,45.7,62.37303017,72.02,18.8,2.41,12.77,227.8,0.55,46.31,43.3,0.785,88.16,89.6,5.53,6817,9731,766,1167,14934,19176,13211,5965,ES,Grupo 1
Anchieta (SC),229.9,31.0,487.6643069,74.76,14.1,3.0,12.94,151.72,0.49,39.85,43.17,0.769,82.69,88.69,4.5,3634,3659,295,431,7952,7133,2443,4690,SC,Grupo 1
Andaraí (BA),1902.4,7.3,306.0045035,55.77,81.31,4.8,46.42,82.38,0.67,57.09,59.86,0.569,76.97,64.24,2.45,5053,5450,846,872,14285,13884,7166,6718,BA,Grupo 1
Andirá (PR),235.0,92.2,281.3298652,67.89,23.44,2.65,16.94,237.67,0.53,42.61,33.5,0.742,75.69,85.72,5.02,9514,11895,1058,1525,19584,21663,19927,1736,PR,Grupo 1
Andorinha (BA),1212.5,13.0,325.3343209,58.97,66.0,3.0,46.61,76.26,0.6,55.13,60.35,0.57,73.76,60.41,2.0,6936,7547,1002,1172,17170,15774,4335,11439,BA,Grupo 1
Andradas (MG),468.7,69.8,368.899009,76.07,13.08,2.45,16.14,360.23,0.55,72.65,33.33,0.812,73.19,87.92,4.72,14949,18916,1837,2615,28377,32968,24087,8881,MG,Grupo 1
Andradina (SP),962.7,57.3,569.9139606,70.77,16.72,1.98,11.89,358.05,0.59,49.4,38.31,0.798,81.78,90.55,6.31,27139,31939,3357,4466,52409,55161,50836,4325,SP,Grupo 1
Andrelândia (MG),1007.1,12.2,216.8076507,68.52,33.34,2.68,16.06,207.21,0.61,43.37,40.14,0.733,71.87,85.7,4.85,6205,6980,840,1064,12497,12310,9557,2753,MG,Grupo 1
André da Rocha (RS),333.2,3.3000000000000003,159.2536919,73.83,13.38,2.05,7.27,298.74,0.48,20.0,27.48,0.815,87.22,92.33,5.25,629,686,82,110,1047,1113,374,739,RS,Grupo 1
Angatuba (SP),1031.0,18.7,181.1702874,69.45,19.37,2.53,11.92,250.71,0.55,51.62,35.94,0.762,74.31,90.38,5.09,8286,10400,981,1317,17219,19297,13240,6057,SP,Grupo 1
Angelândia (MG),537.5,13.9,310.137894,64.26,48.94,4.46,43.46,127.06,0.62,38.65,46.28,0.635,67.55,66.57,2.47,1591,2765,148,285,4264,7468,3226,4242,MG,Grupo 1
Angelim (PE),126.7,71.5,180.2075972,62.61,69.55,3.26,45.15,84.65,0.62,61.01,59.44,0.602,77.87,60.97,2.8,3684,4223,693,882,8734,9082,4543,4539,PE,Grupo 1
Angelina (SC),524.5,11.0,43.05427946,75.29,12.98,2.05,16.16,185.13,0.5,42.97,45.1,0.766,70.94,86.79,3.84,2918,3126,416,521,6133,5776,1015,4761,SC,Grupo 1
Angélica (MS),1276.5,5.8,210.5025858,69.46,27.04,2.29,21.7,160.18,0.51,38.55,38.2,0.729,82.5,82.79,4.11,3893,3898,350,489,8834,7356,5692,1664,MS,Grupo 1
Angical (BA),1497.5,9.8,679.2726679,66.2,38.27,3.79,41.45,71.46,0.52,48.95,54.92,0.625,74.77,68.18,2.56,5907,6274,711,925,16052,14701,6035,8666,BA,Grupo 1
Angical do Piauí (PI),212.3,32.0,111.0055025,67.47,34.23,2.75,35.12,74.06,0.55,57.1,57.8,0.648,80.71,71.42,3.77,2816,3416,392,561,6129,6788,5065,1723,PI,Grupo 1
Angico (TO),564.1,5.1000000000000005,422.8423304,64.51,45.44,3.37,28.52,89.4,0.59,52.13,55.9,0.668,88.66,79.09,3.58,826,1229,93,168,2280,2889,1639,1250,TO,Grupo 1
Angicos (RN),809.5,14.3,154.5720696,71.32,28.27,2.36,38.77,115.39,0.57,48.87,50.05,0.688,83.05,67.65,4.0,4895,5548,855,1003,11535,11626,9391,2235,RN,Grupo 1
Angra dos Reis (RJ),816.3000000000001,146.0,114.1619671,69.14,20.14,2.3,10.84,275.66,0.55,67.46,48.27,0.772,79.0,91.07,5.93,40540,60414,2771,4726,85571,119247,114300,4947,RJ,Grupo 7
Anguera (BA),170.8,51.7,121.0679561,61.96,53.5,2.25,34.67,71.09,0.54,52.15,55.82,0.623,83.17,73.81,3.11,3178,4145,619,777,7859,8834,3456,5378,BA,Grupo 1
Anhanguera (GO),55.0,16.1,214.4111606,73.22,14.32,2.4,13.26,190.67,0.46,24.11,27.57,0.802,105.27,90.23,5.33,409,495,43,66,869,895,840,55,GO,Grupo 1
Anhembi (SP),738.2,6.1000000000000005,174.1072466,71.67,15.03,2.61,12.36,237.16,0.53,54.85,33.47,0.768,73.26,89.53,5.08,1820,2392,260,359,3537,4535,3265,1270,SP,Grupo 1
Anhumas (SP),321.7,10.6,505.7523114,71.98,14.48,1.9,21.56,183.38,0.5,50.67,40.95,0.752,78.69,84.99,4.72,1557,1839,184,254,3242,3411,2507,904,SP,Grupo 1
Anicuns (GO),964.9,19.5,79.20122981,64.01,38.99,2.14,17.9,217.93,0.6,50.3,40.93,0.721,83.74,84.08,4.64,8253,10090,743,1069,18206,18754,14729,4025,GO,Grupo 1
Anita Garibaldi (SC),606.1,16.9,254.2649561,73.34,17.25,2.38,18.73,158.05,0.55,40.35,46.32,0.75,78.13,84.7,4.22,4605,5397,525,763,10328,10273,4188,6085,SC,Grupo 1
Anitápolis (SC),576.4,5.6000000000000005,66.34667308,74.58,14.48,3.75,16.73,219.28,0.52,37.03,37.22,0.773,73.77,86.08,3.92,1474,1832,173,273,3003,3234,1114,2120,SC,Grupo 1
Anísio de Abreu (PI),354.90000000000003,20.2,456.3852792,67.39,34.5,3.49,45.28,88.09,0.55,49.86,55.75,0.635,79.1,62.28,2.83,2181,2967,306,393,6353,7166,3348,3818,PI,Grupo 1
Anori (AM),6274.5,1.8,194.4424642,65.5,45.3,4.52,31.83,91.12,0.59,49.08,54.39,0.634,61.2,74.43,3.44,2936,3947,304,473,8990,11320,7229,4091,AM,Grupo 1
Anta Gorda (RS),240.3,26.3,139.8926715,73.83,13.38,1.98,8.82,362.51,0.46,13.55,27.82,0.821,82.66,92.45,4.92,3645,3948,515,637,6379,6327,1821,4506,RS,Grupo 1
Antas (BA),289.1,48.6,286.3452549,62.05,53.13,2.39,34.09,99.99,0.49,32.0,44.79,0.632,80.27,70.32,3.08,7340,7145,1251,1170,17104,14059,5014,9045,BA,Grupo 1
Antonina (PR),880.0,21.8,56.29916525,73.68,11.78,3.03,16.13,196.8,0.59,45.13,43.53,0.77,76.14,88.56,5.05,8070,9764,1124,1432,17070,19174,15837,3337,PR,Grupo 1
Antonina do Norte (CE),250.8,25.9,375.5838691,66.42,45.92,2.61,52.88,73.91,0.6,57.92,61.27,0.613,83.1,57.07,2.33,2200,2996,430,557,5086,6509,4429,2080,CE,Grupo 1
Antônio Almeida (PI),604.5,4.7,282.4960059,64.78,43.07,4.08,33.8,81.0,0.53,46.15,53.62,0.643,81.98,73.2,3.56,1358,1300,172,201,3233,2851,1916,935,PI,Grupo 1
Antônio Cardoso (BA),295.1,39.4,88.9126658,68.57,30.94,2.82,45.56,73.64,0.54,51.0,56.59,0.647,86.12,65.67,2.35,4395,4987,821,927,11328,11620,2316,9304,BA,Grupo 1
Antônio Carlos (MG),526.4,20.6,168.2023483,70.93,25.92,2.14,18.35,167.89,0.52,30.58,37.04,0.733,72.38,84.5,4.65,4600,5770,540,654,9812,10870,5931,4939,MG,Grupo 1
Antônio Carlos (SC),242.8,26.4,23.3341462,77.9,8.1,2.54,9.79,291.83,0.45,35.27,32.3,0.827,76.73,93.45,4.87,2714,3546,352,486,5613,6434,1760,4674,SC,Grupo 1
Antônio Dias (MG),880.4,11.4,114.8341272,63.9,50.38,2.96,26.19,118.19,0.54,44.52,45.3,0.661,74.48,77.52,3.43,4141,4784,429,623,9772,10044,4450,5594,MG,Grupo 1
Antônio Gonçalves (BA),317.40000000000003,30.4,328.2970726,60.39,59.87,3.01,37.72,77.12,0.56,52.39,57.41,0.62,89.0,71.5,2.96,5209,4273,699,661,14082,9716,5260,4456,BA,Grupo 1
Antônio João (MS),1146.7,6.5,236.4143793,66.92,35.02,3.22,25.02,142.26,0.56,40.98,42.31,0.702,81.15,80.67,3.82,2747,3338,295,432,6636,7408,6297,1111,MS,Grupo 1
Antônio Martins (RN),251.6,26.8,301.6433153,67.81,39.68,2.8,40.97,68.33,0.6,64.35,62.86,0.636,82.73,66.02,3.11,3045,3257,442,541,7564,6757,3157,3600,RN,Grupo 1
Antônio Olinto (PR),467.4,15.8,111.3689118,67.64,24.04,2.54,14.33,127.93,0.56,40.93,48.05,0.711,74.56,88.77,3.57,3552,3900,451,540,7733,7407,612,6795,PR,Grupo 1
Antônio Prado (RS),343.2,37.6,130.6666791,74.1,12.89,2.01,7.17,417.11,0.5,23.08,35.05,0.841,90.38,93.69,5.71,6297,7711,688,995,10989,12918,8417,4501,RS,Grupo 1
Antônio Prado de Minas (MG),85.3,21.0,233.9778472,66.22,41.32,2.38,15.11,201.19,0.54,36.6,37.53,0.72,70.28,86.9,4.58,1134,1067,154,173,2255,1794,977,817,MG,Grupo 1
Aparecida (PB),223.7,26.3,357.5146849,65.94,39.12,2.39,43.09,97.8,0.59,47.09,51.87,0.628,74.0,62.8,2.83,2229,2978,392,515,5128,5894,2963,2931,PB,Grupo 1
Aparecida (SP),121.2,287.40000000000003,163.3678861,72.03,14.38,2.47,7.61,318.86,0.55,59.02,39.75,0.804,78.98,94.46,6.68,16534,18854,1703,2215,33247,34904,34382,522,SP,Grupo 1
Aparecida d'Oeste (SP),179.6,27.4,556.5047305,72.09,14.27,1.94,22.44,229.33,0.53,38.44,30.93,0.759,79.4,81.93,4.43,2627,2939,371,467,5100,4935,3665,1270,SP,Grupo 1
Aparecida de Goiânia (GO),290.1,1157.6,15.91899083,70.16,20.96,2.25,11.43,201.68,0.47,48.73,37.7,0.764,81.47,91.29,5.68,73693,156809,3585,8844,178483,336392,335547,845,GO,Grupo 7
Aparecida do Rio Doce (GO),604.2,4.0,269.3834227,71.55,17.77,2.93,21.23,218.7,0.51,40.84,28.55,0.754,79.52,82.43,4.45,871,1239,99,137,1881,2402,1807,595,GO,Grupo 1
Aparecida do Rio Negro (TO),1165.0,3.0,46.16093147,64.53,45.35,2.79,28.86,110.85,0.57,50.82,51.94,0.675,82.87,79.49,3.52,1191,1520,117,198,3266,3517,2589,928,TO,Grupo 1
Aparecida do Taboado (MS),2757.5,6.7,372.3659818,72.69,18.52,2.64,20.38,224.05,0.54,75.28,46.79,0.763,75.46,84.99,4.63,7547,9918,857,1304,15172,18402,15644,2758,MS,Grupo 1
Aperibé (RJ),89.5,89.4,182.2244447,69.47,19.43,2.1,17.23,240.16,0.56,46.02,34.89,0.756,78.7,86.66,5.21,3385,4617,473,689,6309,8018,6842,1176,RJ,Grupo 1
Apiacá (ES),194.4,39.2,157.9475657,69.04,26.18,2.5,21.17,179.34,0.56,34.36,38.96,0.723,74.57,82.25,4.57,3396,4074,443,659,6995,7615,4886,2729,ES,Grupo 1
Apiacás (MT),20450.0,0.3,688.2820401,66.86,34.76,3.08,25.73,201.76,0.57,49.86,41.17,0.713,77.81,78.58,3.57,2443,3321,112,130,5987,6665,4465,2200,MT,Grupo 1
Apiaí (SP),949.2,28.6,248.1368534,65.41,28.96,2.88,13.2,171.29,0.62,58.18,55.47,0.716,75.89,88.81,4.97,10896,12410,1052,1315,26902,27162,16648,10514,SP,Grupo 1
Apicum-Açu (MA),249.6,44.5,148.3344362,58.18,69.58,4.27,37.88,45.4,0.56,56.79,64.1,0.565,78.59,70.69,2.55,3161,3999,381,464,9072,11099,5553,5546,MA,Grupo 1
Apiúna (SC),489.1,17.400000000000002,103.826914,71.92,20.71,2.75,11.42,243.02,0.48,46.27,34.79,0.768,71.84,88.68,4.6,3661,4420,395,500,7977,8520,3606,4914,SC,Grupo 1
Apodi (RN),1556.1,21.9,286.7324698,68.05,38.85,2.36,36.82,87.77,0.55,56.98,55.28,0.654,83.04,67.15,3.86,12959,16698,1653,2245,31175,34174,16353,17821,RN,Grupo 1
Aporá (BA),600.9,27.9,152.9747598,64.41,44.35,2.75,48.03,71.85,0.58,58.92,59.69,0.604,76.73,61.78,2.18,6754,7683,1364,1388,15742,16769,6546,10223,BA,Grupo 1
Aporé (GO),2909.6,1.2,380.0134615,69.01,23.82,2.58,19.88,273.28,0.61,49.73,33.72,0.752,76.56,83.7,4.22,1369,1833,101,165,3104,3427,2096,1331,GO,Grupo 1
Apuarema (BA),151.3,49.2,165.6271706,63.97,45.93,3.53,46.95,72.09,0.55,48.95,54.94,0.617,87.53,63.46,2.17,2878,3028,335,510,7962,7443,4382,3061,BA,Grupo 1
Apucarana (PR),556.8000000000001,193.6,304.054759,73.17,12.63,2.03,11.44,288.47,0.51,41.86,33.34,0.799,82.28,90.44,5.97,46368,58350,4562,6566,95064,107827,100249,7578,PR,Grupo 7
Apuiarés (CE),565.1,22.2,101.880262,64.74,52.53,3.44,40.16,62.09,0.58,60.02,61.79,0.622,93.63,64.58,2.52,3885,5597,662,998,9516,12540,5453,7087,CE,Grupo 1
Apuí (AM),54251.0,0.3,455.2778907,64.98,47.31,4.35,24.54,130.08,0.76,79.09,71.01,0.676,73.27,80.08,3.39,2083,5544,111,263,5732,13864,6126,7738,AM,Grupo 1
Aquidabã (SE),370.2,49.2,70.24454025,61.55,55.12,3.25,42.39,89.58,0.55,43.97,51.09,0.605,78.59,63.34,3.16,6456,8363,1047,1322,15645,18344,9647,8697,SE,Grupo 1
Aquidauana (MS),17008.5,2.6,118.832506,68.22,30.8,2.56,16.29,244.08,0.66,52.65,46.98,0.757,84.65,86.78,5.29,18006,21460,2256,2923,39342,43440,33816,9624,MS,Grupo 1
Aquiraz (CE),482.8,125.5,26.49647517,67.48,41.94,3.04,36.06,123.29,0.57,40.95,43.12,0.67,80.81,68.52,3.51,18653,27544,2236,3306,46305,60469,54682,5787,CE,Grupo 1
Arabutã (SC),131.1,31.7,357.8292728,73.28,17.4,2.1,5.4,312.91,0.51,26.36,31.84,0.812,80.44,94.65,4.59,1892,2454,171,390,3906,4160,971,3189,SC,Grupo 1
Aracaju (SE),181.8,2535.2000000000003,0.0,68.72,38.95,1.99,11.62,352.74,0.64,48.76,45.03,0.794,91.36,89.4,7.53,174247,230036,16185,22195,402341,461534,461534,0,SE,Grupo 3
