Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Nova Esperança do Sul (RS),190.8,21.0,354.1246547,76.39,9.04,2.04,10.68,212.78,0.48,30.07,35.87,0.798,78.4,91.39,4.89,1862,2288,190,287,3589,4010,2788,1222,RS,Grupo 1
Nova Europa (SP),161.3,45.3,278.6420565,73.76,11.46,2.12,12.54,272.09,0.48,78.42,30.39,0.791,76.08,89.82,4.91,2667,3872,297,475,5381,7307,6475,832,SP,Grupo 1
Nova Fátima (BA),373.0,20.1,194.4039943,60.82,58.09,2.61,35.24,111.35,0.55,44.81,45.73,0.635,82.56,71.22,2.89,4304,3587,457,487,10445,7536,4441,3095,BA,Grupo 1
Nova Fátima (PR),280.5,29.6,257.3903807,70.89,16.85,2.68,24.0,222.57,0.57,46.52,33.98,0.747,76.7,81.58,4.42,3919,4349,457,624,8385,8305,6591,1714,PR,Grupo 1
Nova Floresta (PB),59.9,157.1,165.0465127,59.12,65.36,2.74,40.06,84.67,0.49,39.65,50.95,0.606,85.02,67.69,2.79,3239,4550,632,889,7257,9421,8376,1045,PB,Grupo 1
Nova Friburgo (RJ),935.0,185.4,97.90666666,72.26,14.04,1.86,8.42,366.84,0.55,51.05,35.63,0.81,80.19,92.58,6.23,88758,100576,9477,12867,167081,173418,151851,21567,RJ,Grupo 7
Nova Glória (GO),414.5,21.6,174.0093014,68.54,25.06,2.2,23.73,147.26,0.56,44.6,41.01,0.724,89.92,81.23,4.24,4062,4973,547,795,8506,8944,5688,3256,GO,Grupo 1
Nova Granada (SP),533.4,31.9,433.8468529,74.67,10.06,2.45,11.74,252.55,0.5,59.89,34.3,0.79,75.79,89.2,5.37,7661,9460,939,1354,14895,17020,15039,1981,SP,Grupo 1
Nova Guarita (MT),1091.7,5.2,591.407706,67.39,33.08,2.84,16.5,184.09,0.63,54.72,52.88,0.724,73.42,86.93,4.0,2071,2708,95,226,5076,5651,1960,3691,MT,Grupo 1
Nova Guataporanga (SP),34.2,61.0,570.0920884,71.56,15.23,1.97,23.24,184.35,0.5,48.95,42.13,0.74,78.22,80.92,4.56,1101,1226,129,236,2133,2087,1728,359,SP,Grupo 1
Nova Hartz (RS),57.8,260.8,59.16539816,74.06,12.97,2.47,6.82,236.74,0.39,50.12,34.48,0.796,76.55,94.3,4.95,4421,7601,319,555,9677,15071,12879,2192,RS,Grupo 1
Nova Ibiá (BA),181.4,39.4,152.3779903,62.83,50.13,3.17,40.1,79.87,0.5,40.73,46.68,0.616,79.92,66.82,2.42,3662,3105,339,425,10502,7166,2534,4632,BA,Grupo 1
Nova Iguaçu (RJ),559.4,1636.3,29.58690144,67.99,22.7,2.17,8.62,237.5,0.53,63.56,47.82,0.762,79.67,92.81,6.32,378946,486341,31963,49574,769297,920599,920599,0,RJ,Grupo 6
